time,time,lat,lon,alt,pol,mds,mcg,distance
2019-08-03 13:07:03.433462590,2019-08-03 13:07:03.433462590,49.28503,14.503276000000001,0,0,8904,131,14.080974145955137
2019-08-03 13:07:03.433464968,2019-08-03 13:07:03.433464968,49.286633,14.484319000000001,0,0,13465,80,15.199061996679093
2019-08-03 13:07:03.575422108,2019-08-03 13:07:03.575422108,49.299147999999995,14.506507000000001,0,0,13112,110,15.083532586678121
2019-08-03 13:07:03.701189007,2019-08-03 13:07:03.701189007,49.329201,14.506045,0,0,11902,111,17.792329706098393
2019-08-03 13:09:43.158343725,2019-08-03 13:09:43.158343725,49.272775,14.493576000000001,0,0,11798,91,13.687407301501846
2019-08-03 13:09:43.420716925,2019-08-03 13:09:43.420716925,49.174533000000004,14.628576,0,0,9512,124,2.416052428032631
2019-08-03 13:09:43.437715179,2019-08-03 13:09:43.437715179,49.281359,14.513822,0,0,6731,65,13.255451669310473
2019-08-03 13:11:32.325372960,2019-08-03 13:11:32.325372960,49.242124,14.554176000000002,0,0,6579,109,8.129561549653042
2019-08-03 13:12:29.529225298,2019-08-03 13:12:29.529225298,49.157733,14.521488,0,0,12460,121,9.542463406878976
2019-08-03 13:12:29.606506752,2019-08-03 13:12:29.606506752,49.165978,14.529088,0,0,4983,113,8.666698152277988
2019-08-03 13:12:48.952245763,2019-08-03 13:12:48.952245763,49.252107,14.510542000000001,0,0,13778,65,11.328614661927782
2019-08-03 13:12:48.957931162,2019-08-03 13:12:48.957931162,49.236746999999994,14.524412,0,0,8004,62,9.5774239625405
2019-08-03 13:12:49.015126729,2019-08-03 13:12:49.015126729,49.248463,14.546911999999999,0,0,6387,66,8.98851931370619
2019-08-03 13:15:15.113389444,2019-08-03 13:15:15.113389444,49.235519000000004,14.583143,0,0,7647,86,6.100633866061823
2019-08-03 13:15:15.113393620,2019-08-03 13:15:15.113393620,49.241632,14.578978,0,0,5208,123,6.809935794447119
2019-08-03 13:17:11.373497907,2019-08-03 13:17:11.373497907,49.238803000000004,14.616025,0,0,4544,73,5.166230886598192
2019-08-03 13:17:11.648325181,2019-08-03 13:17:11.648325181,49.268223,14.712071,0,0,5093,71,9.679950673836837
2019-08-03 13:18:25.231988762,2019-08-03 13:18:25.231988762,49.187441,14.546037,0,0,10126,122,6.863494733924114
2019-08-03 13:18:25.231993304,2019-08-03 13:18:25.231993304,49.203417,14.5829,0,0,4822,123,4.238897073412388
2019-08-03 13:18:25.232001198,2019-08-03 13:18:25.232001198,49.207556,14.562957,0,0,3207,64,5.754049845003797
2019-08-03 13:18:25.274602762,2019-08-03 13:18:25.274602762,49.224543,14.540979,0,0,4399,78,7.892311417346458
2019-08-03 13:19:19.861817518,2019-08-03 13:19:19.861817518,49.227994,14.646360000000001,0,0,5832,109,3.6978811001282947
2019-08-03 13:19:19.861817663,2019-08-03 13:19:19.861817663,49.211726,14.648743,0,0,3446,171,1.9688988237877467
2019-08-03 13:19:19.946067164,2019-08-03 13:19:19.946067164,49.201262,14.601085000000001,0,0,4205,118,2.898797845866447
2019-08-03 13:19:19.946067459,2019-08-03 13:19:19.946067459,49.230402000000005,14.554483,0,0,10898,111,7.339887309401402
2019-08-03 13:19:19.975148006,2019-08-03 13:19:19.975148006,49.232851000000004,14.647395000000001,0,0,4653,69,4.24279377454921
2019-08-03 13:19:19.975150838,2019-08-03 13:19:19.975150838,49.240711,14.659989999999999,0,0,4845,134,5.287030403709497
2019-08-03 13:19:19.975152690,2019-08-03 13:19:19.975152690,49.232815,14.639529000000001,0,0,10754,57,4.203210536933235
2019-08-03 13:19:19.975152941,2019-08-03 13:19:19.975152941,49.234795,14.648843,0,0,7881,112,4.47125098861659
2019-08-03 13:19:52.869129089,2019-08-03 13:19:52.869129089,49.23773,14.717457999999999,0,0,5024,71,7.369070627318322
2019-08-03 13:20:27.861445758,2019-08-03 13:20:27.861445758,49.241719,14.69255,0,0,6919,72,6.450092761559332
2019-08-03 13:20:43.381895098,2019-08-03 13:20:43.381895098,49.218306,14.57821,0,0,11052,103,5.170088365053331
2019-08-03 13:20:43.381898958,2019-08-03 13:20:43.381898958,49.228446000000005,14.560854,0,0,13574,110,6.833348647838708
2019-08-03 13:20:43.381967885,2019-08-03 13:20:43.381967885,49.138584,14.318835,0,0,13529,116,24.1515124185589
2019-08-03 13:20:43.381988210,2019-08-03 13:20:43.381988210,49.224838,14.558963,0,0,8724,132,6.743131559100356
2019-08-03 13:20:43.408756449,2019-08-03 13:20:43.408756449,49.212796999999995,14.574342000000001,0,0,14412,111,5.150403791536266
2019-08-03 13:21:18.740687425,2019-08-03 13:21:18.740687425,49.229039,14.683741,0,0,8646,120,4.9471305687104365
2019-08-03 13:22:06.362175833,2019-08-03 13:22:06.362175833,49.217569,14.575054999999999,0,0,4926,82,5.330533993869538
2019-08-03 13:22:06.362178297,2019-08-03 13:22:06.362178297,49.221371000000005,14.567035999999998,0,0,5542,78,6.043698251486479
2019-08-03 13:22:06.509638761,2019-08-03 13:22:06.509638761,49.19717,14.590534,0,0,3334,177,3.5882764955236244
2019-08-03 13:22:06.554201047,2019-08-03 13:22:06.554201047,49.184945,14.594933,0,0,9193,65,3.4468649505561784
2019-08-03 13:22:53.601899794,2019-08-03 13:22:53.601899794,49.218641999999996,14.69338,0,0,6988,90,4.692496439971175
2019-08-03 13:22:53.601901322,2019-08-03 13:22:53.601901322,49.248754,14.72236,0,0,7205,131,8.459819672534833
2019-08-03 13:22:53.601902583,2019-08-03 13:22:53.601902583,49.213303,14.734839000000001,0,0,8803,84,7.1916860925668775
2019-08-03 13:22:53.601918224,2019-08-03 13:22:53.601918224,49.185520000000004,14.699395,0,0,10060,113,4.4517973867309975
2019-08-03 13:22:53.628285096,2019-08-03 13:22:53.628285096,49.225436,14.720014,0,0,4587,115,6.732490489323694
2019-08-03 13:22:53.628288363,2019-08-03 13:22:53.628288363,49.223548,14.72631,0,0,6028,57,7.034356352251606
2019-08-03 13:23:37.606198605,2019-08-03 13:23:37.606198605,49.213074,14.556784,0,0,6211,71,6.355960639751507
2019-08-03 13:23:37.606201982,2019-08-03 13:23:37.606201982,49.222163,14.556254999999998,0,0,7648,72,6.777565177520119
2019-08-03 13:23:47.453724311,2019-08-03 13:23:47.453724311,49.20443,14.721632000000001,0,0,10927,121,6.031332738331791
2019-08-03 13:24:07.786069535,2019-08-03 13:24:07.786069535,49.187591,14.712248,0,0,11797,72,5.322848753544125
2019-08-03 13:24:07.786086253,2019-08-03 13:24:07.786086253,49.223911,14.721808,0,0,9431,62,6.763334747124437
2019-08-03 13:25:15.977465998,2019-08-03 13:25:15.977465998,49.201547,14.568025,0,0,5573,84,5.265051629198043
2019-08-03 13:25:59.883528098,2019-08-03 13:25:59.883528098,49.192935,14.664615,0,0,10095,142,1.8139824642208286
2019-08-03 13:26:59.575505886,2019-08-03 13:26:59.575505886,49.231388,14.591455999999999,0,0,6372,80,5.356515682301397
2019-08-03 13:26:59.643226876,2019-08-03 13:26:59.643226876,49.250519,14.598861,0,0,6649,152,6.8497268574150425
